well,facies,iter,particles,cmode,c1_start,c1_end,c2_start,c2_end,best_error,runtime,seed
RO_31A,7,50,10,0,2.5,2.5,1.0,1.0,0.05657271253288324,184.97723579406738,210305
RO_31A,7,50,10,0,2.0,2.0,1.0,1.0,0.05643858683324815,187.4703631401062,902141
RO_31A,7,50,10,0,1.5,1.5,0.5,0.5,0.0563862642306073,188.0461084842682,968850
RO_31A,7,50,10,0,1.5,1.5,1.0,1.0,0.05642478948305636,188.85090374946594,606468
RO_31A,7,50,10,0,2.5,2.5,0.5,0.5,0.05645178335823925,189.3246443271637,997505
RO_31A,7,50,10,0,2.0,2.0,0.5,0.5,0.05640103789435283,189.595769405365,966618
RO_31A,7,50,10,0,2.0,2.0,1.5,1.5,0.05662594800916128,189.66320872306824,606350
RO_31A,7,50,10,0,1.5,1.5,1.5,1.5,0.05653954035130633,189.82844996452332,807547
RO_31A,7,50,10,0,2.5,2.5,1.5,1.5,0.056993993726009086,189.8588364124298,560770
RO_31A,7,50,20,0,2.5,2.5,1.5,1.5,0.05682650981886674,372.6418800354004,768793
RO_31A,7,50,20,0,2.5,2.5,1.0,1.0,0.056477645608035316,375.12115931510925,527874
RO_31A,7,50,20,0,2.5,2.5,0.5,0.5,0.05641702726421339,379.1827664375305,265269
RO_31A,7,50,20,0,2.0,2.0,0.5,0.5,0.05630895285443891,386.56267261505127,46346
RO_31A,7,50,20,0,1.5,1.5,1.5,1.5,0.05649099170688556,382.77331161499023,294358
RO_31A,7,50,20,0,2.0,2.0,1.0,1.0,0.056444379875812516,386.4202039241791,364523
RO_31A,7,100,10,0,2.5,2.5,1.5,1.5,0.05649176442887458,384.2815661430359,107735
RO_31A,7,100,10,0,2.5,2.5,0.5,0.5,0.05639536700373188,385.26126074790955,702338
RO_31A,7,50,20,0,1.5,1.5,1.0,1.0,0.05638243915035621,387.264390707016,538682
RO_31A,7,50,20,0,1.5,1.5,0.5,0.5,0.05634932075540412,387.8991813659668,368611
RO_31A,7,100,10,0,2.5,2.5,1.0,1.0,0.05640772561589014,387.6729815006256,412795
RO_31A,7,50,20,0,2.0,2.0,1.5,1.5,0.05709657888142209,389.7003412246704,170127
RO_31A,7,100,10,0,2.0,2.0,0.5,0.5,0.056324944489656005,381.4932839870453,689885
RO_31A,7,100,10,0,2.0,2.0,1.5,1.5,0.05639334864172113,377.97911500930786,99241
RO_31A,7,100,10,0,2.0,2.0,1.0,1.0,0.056354872666816734,383.2127969264984,171771
RO_31A,7,100,10,0,1.5,1.5,0.5,0.5,0.05637542956663079,372.1000232696533,828720
RO_31A,7,100,10,0,1.5,1.5,1.0,1.0,0.056390728084838054,373.28158807754517,625635
RO_31A,7,100,10,0,1.5,1.5,1.5,1.5,0.0563837576058625,375.56136894226074,48367
RO_31A,7,50,10,2,2.5,0.5,0.5,2.5,0.056591521305498035,193.63566207885742,132063
RO_31A,7,50,10,1,2.5,0.5,0.5,2.5,0.05687522046653597,199.26417016983032,363984
RO_31A,7,50,10,1,2.5,0.5,1.5,2.5,0.05734186825312281,197.54174160957336,842988
RO_31A,7,100,20,0,2.5,2.5,1.0,1.0,0.05639785478703954,728.0561921596527,165454
RO_31A,7,100,20,0,2.5,2.5,1.5,1.5,0.05649316139862343,731.9026577472687,722037
RO_31A,7,100,20,0,2.0,2.0,1.0,1.0,0.056331756199911015,732.8007786273956,816017
RO_31A,7,100,20,0,2.0,2.0,1.5,1.5,0.0564135515313354,738.540602684021,247847
RO_31A,7,100,20,0,2.5,2.5,0.5,0.5,0.0563358694136383,742.2555100917816,490970
RO_31A,7,100,20,0,2.0,2.0,0.5,0.5,0.05628262857503488,743.4088413715363,482810
RO_31A,7,50,10,2,2.5,0.5,1.5,2.5,0.057236932460352045,196.56227493286133,587538
RO_31A,7,50,10,1,2.5,0.5,1.0,2.0,0.05690379463462095,195.5832130908966,706357
RO_31A,7,50,10,2,2.5,0.5,1.0,2.0,0.056760515347911294,198.4315345287323,52887
RO_31A,7,100,20,0,1.5,1.5,0.5,0.5,0.0562693398948885,731.5435161590576,903391
RO_31A,7,50,10,1,2.5,0.5,0.5,1.5,0.05642111142140344,190.7652199268341,563454
RO_31A,7,100,20,0,1.5,1.5,1.0,1.0,0.056299766739555925,739.3806281089783,459255
RO_31A,7,100,20,0,1.5,1.5,1.5,1.5,0.056406585746963875,744.1943624019623,350617
RO_31A,7,50,10,2,2.5,1.5,0.5,2.5,0.05649459614531418,188.39458513259888,292953
RO_31A,7,50,10,2,2.5,0.5,0.5,1.5,0.05645516565436387,196.6668562889099,760691
RO_31A,7,50,10,1,2.5,1.5,0.5,2.5,0.05671410815204747,195.06548523902893,935131
RO_31A,7,50,10,1,2.5,1.5,1.5,2.5,0.05710366088457129,193.11252164840698,659537
RO_31A,7,50,10,2,2.5,1.5,1.5,2.5,0.0575728907506614,196.07513785362244,800618
RO_31A,7,50,10,1,2.5,1.5,1.0,2.0,0.056564262258647205,193.58928680419922,835635
RO_31A,7,50,10,2,2.5,1.5,1.0,2.0,0.056568113110979236,194.1481773853302,951978
RO_31A,7,50,10,1,2.5,1.5,0.5,1.5,0.05649212631420763,193.5781638622284,39961
RO_31A,7,50,10,2,2.5,1.5,0.5,1.5,0.05642723570063883,191.57955121994019,716345
RO_31A,7,50,10,1,2.0,1.0,0.5,2.5,0.05664659732146574,196.86536407470703,887141
RO_31A,7,50,10,2,2.0,1.0,0.5,2.5,0.056448948236042414,197.78066182136536,116534
RO_31A,7,50,10,1,2.0,1.0,1.5,2.5,0.05768792826345459,194.2952537536621,756977
RO_31A,7,50,10,1,2.0,1.0,1.0,2.0,0.0565158680871336,192.00832986831665,631207
RO_31A,7,50,10,2,2.0,1.0,1.5,2.5,0.05681764834472149,193.3447756767273,537474
RO_31A,7,50,10,2,2.0,1.0,1.0,2.0,0.056681871403054265,196.83326268196106,572490
RO_31A,7,50,10,1,2.0,1.0,0.5,1.5,0.05643652301040627,196.7534158229828,441418
RO_31A,7,50,10,2,2.0,1.0,0.5,1.5,0.0564046935799143,194.20687174797058,296268
RO_31A,7,50,10,1,1.5,0.5,0.5,2.5,0.056531613594224484,198.53447580337524,579212
RO_31A,7,50,10,2,1.5,0.5,0.5,2.5,0.0565028833306958,200.331946849823,554193
RO_31A,7,50,10,1,1.5,0.5,1.5,2.5,0.05752419315031342,200.10769271850586,676437
RO_31A,7,50,10,2,1.5,0.5,1.5,2.5,0.057340194174475924,209.48354959487915,637237
RO_31A,7,50,10,1,1.5,0.5,1.0,2.0,0.056755944966732044,202.59377455711365,42245
RO_31A,7,50,10,2,1.5,0.5,1.0,2.0,0.05673390443919282,206.71358609199524,956577
RO_31A,7,50,10,2,1.5,0.5,0.5,1.5,0.056383266557690166,204.2500286102295,638851
RO_31A,7,50,10,1,1.5,0.5,0.5,1.5,0.05641398975614457,208.2028398513794,954784
RO_31A,7,50,20,1,2.5,0.5,0.5,2.5,0.05664638704628193,417.7248432636261,898580
RO_31A,7,50,20,2,2.5,0.5,0.5,2.5,0.05647528343551844,419.0107271671295,178254
RO_31A,7,50,20,1,2.5,0.5,1.5,2.5,0.05730451010783278,415.9017610549927,638
RO_31A,7,50,20,2,2.5,0.5,1.5,2.5,0.057010705097426784,423.6832387447357,392911
RO_31A,7,50,20,1,2.5,0.5,1.0,2.0,0.05664444526955715,420.4480137825012,936461
RO_31A,7,50,20,2,2.5,0.5,1.0,2.0,0.05660105514079662,415.93867659568787,640735
RO_31A,7,50,20,1,2.5,0.5,0.5,1.5,0.05641645826189867,418.321298122406,853439
RO_31A,7,50,20,2,2.5,0.5,0.5,1.5,0.05640010531535789,427.0986416339874,784835
RO_31A,7,50,20,1,2.5,1.5,0.5,2.5,0.05666118030155537,423.1992402076721,406298
RO_31A,7,50,20,2,2.5,1.5,0.5,2.5,0.05645681729081412,425.7015600204468,169598
RO_31A,7,50,20,1,2.5,1.5,1.5,2.5,0.05720019383000076,430.47119402885437,169291
RO_31A,7,50,20,2,2.5,1.5,1.5,2.5,0.057216207096991094,428.96172857284546,462660
RO_31A,7,50,20,1,2.5,1.5,1.0,2.0,0.056508814264101405,429.95165371894836,548643
RO_31A,7,50,20,2,2.5,1.5,1.0,2.0,0.05652794555903246,424.9990611076355,265756
RO_31A,7,50,20,1,2.5,1.5,0.5,1.5,0.05640770938350805,427.34798192977905,332301
RO_31A,7,50,20,2,2.5,1.5,0.5,1.5,0.056402595679999466,422.70379400253296,58244
RO_31A,7,50,20,1,2.0,1.0,0.5,2.5,0.05657503752702625,426.54618763923645,219289
RO_31A,7,50,20,2,2.0,1.0,0.5,2.5,0.05647413306155196,426.06457686424255,867488
RO_31A,7,50,20,1,2.0,1.0,1.5,2.5,0.057581249242516445,426.40175557136536,194655
RO_31A,7,50,20,2,2.0,1.0,1.5,2.5,0.05713743306662134,414.7661876678467,77416
RO_31A,7,50,20,1,2.0,1.0,1.0,2.0,0.05651568461822111,423.1293087005615,380838
RO_31A,7,50,20,2,2.0,1.0,1.0,2.0,0.05647082409409816,420.3755667209625,393343
RO_31A,7,50,20,1,2.0,1.0,0.5,1.5,0.05636880630270104,421.36307740211487,344379
RO_31A,7,50,20,2,2.0,1.0,0.5,1.5,0.05638046080272638,422.6048240661621,807978
RO_31A,7,50,20,1,1.5,0.5,0.5,2.5,0.056514532761257445,420.2113094329834,654280
RO_31A,7,50,20,2,1.5,0.5,0.5,2.5,0.056448801108242505,422.27206921577454,214581
RO_31A,7,50,20,1,1.5,0.5,1.5,2.5,0.05694850867639964,423.5866892337799,208140
RO_31A,7,50,20,2,1.5,0.5,1.5,2.5,0.0572589122623875,426.6795189380646,890868
RO_31A,7,50,20,2,1.5,0.5,1.0,2.0,0.056636671511068444,418.40419244766235,133404
RO_31A,7,50,20,1,1.5,0.5,1.0,2.0,0.05658273127595989,423.2198646068573,900990
RO_31A,7,50,20,1,1.5,0.5,0.5,1.5,0.05637024073822969,422.39585614204407,668370
RO_31A,7,50,20,2,1.5,0.5,0.5,1.5,0.05640455836587992,422.14524388313293,87334
RO_31A,7,100,10,2,2.5,0.5,0.5,2.5,0.056391705416980284,409.8316764831543,77417
RO_31A,7,100,10,1,2.5,0.5,0.5,2.5,0.05644675343638455,418.0394706726074,681904
RO_31A,7,100,10,1,2.5,0.5,1.5,2.5,0.05703998420966828,407.37739419937134,866039
RO_31A,7,100,10,2,2.5,0.5,1.5,2.5,0.056704612151496525,411.73609733581543,510788
RO_31A,7,100,10,1,2.5,0.5,1.0,2.0,0.05648267336542628,408.8770287036896,482438
RO_31A,7,100,10,2,2.5,0.5,1.0,2.0,0.056414607768340695,415.1605701446533,826627
RO_31A,7,100,10,1,2.5,0.5,0.5,1.5,0.056373176687873026,423.5800983905792,980448
RO_31A,7,100,10,2,2.5,0.5,0.5,1.5,0.05639878887443222,420.638391494751,818681
RO_31A,7,100,10,1,2.5,1.5,0.5,2.5,0.056455392844599175,422.1948506832123,243194
RO_31A,7,100,10,2,2.5,1.5,0.5,2.5,0.056403563697000315,417.630464553833,236186
RO_31A,7,100,10,1,2.5,1.5,1.5,2.5,0.05718202325257626,421.87465047836304,612125
RO_31A,7,100,10,2,2.5,1.5,1.0,2.0,0.05644186461432825,406.61465311050415,338075
RO_31A,7,100,10,2,2.5,1.5,1.5,2.5,0.056786900936327434,414.3595623970032,274968
RO_31A,7,100,10,1,2.5,1.5,1.0,2.0,0.056455883672590294,413.50821900367737,740375
RO_31A,7,100,10,1,2.5,1.5,0.5,1.5,0.05639386293163608,411.01941871643066,698953
RO_31A,7,100,10,2,2.5,1.5,0.5,1.5,0.05636283473324401,416.2920608520508,114632
RO_31A,7,100,10,1,2.0,1.0,0.5,2.5,0.05647882450878942,406.3434851169586,61850
RO_31A,7,100,10,2,2.0,1.0,0.5,2.5,0.05641105505243607,412.333379983902,136572
RO_31A,7,100,10,1,2.0,1.0,1.5,2.5,0.05668710834888349,410.2132148742676,524287
RO_31A,7,100,10,2,2.0,1.0,1.5,2.5,0.05667379797865344,408.6889696121216,217940
RO_31A,7,100,10,1,2.0,1.0,1.0,2.0,0.05641887886749762,408.3178572654724,655420
RO_31A,7,100,10,2,2.0,1.0,1.0,2.0,0.05637969917452318,408.4561641216278,919893
RO_31A,7,100,10,1,2.0,1.0,0.5,1.5,0.05635934089324766,408.00260758399963,966331
RO_31A,7,100,10,2,2.0,1.0,0.5,1.5,0.056311000625585715,413.99753975868225,361618
RO_31A,7,100,10,1,1.5,0.5,1.5,2.5,0.05694665307066831,412.7435095310211,673551
RO_31A,7,100,10,2,1.5,0.5,0.5,2.5,0.056384610343096636,414.16165018081665,371140
RO_31A,7,100,10,1,1.5,0.5,0.5,2.5,0.056473123607471254,419.6682674884796,181145
RO_31A,7,100,10,2,1.5,0.5,1.5,2.5,0.056952663807166834,412.6904366016388,585948
RO_31A,7,100,10,1,1.5,0.5,1.0,2.0,0.056476940644842405,406.115868806839,401230
RO_31A,7,100,10,2,1.5,0.5,1.0,2.0,0.05643519204713161,415.0614347457886,949242
RO_31A,7,100,10,1,1.5,0.5,0.5,1.5,0.05637660614742235,421.4160039424896,73252
RO_31A,7,100,10,2,1.5,0.5,0.5,1.5,0.05638904204076253,416.2405107021332,238878
RO_31A,7,100,20,1,2.5,0.5,0.5,2.5,0.05644549800643946,823.8647377490997,670140
RO_31A,7,100,20,1,2.5,0.5,1.5,2.5,0.056495244520650176,818.0440170764923,419482
RO_31A,7,100,20,2,2.5,0.5,0.5,2.5,0.05636176524470177,836.8838021755219,576564
RO_31A,7,100,20,1,2.5,0.5,1.0,2.0,0.056418351204108874,814.736634016037,987654
RO_31A,7,100,20,1,2.5,0.5,0.5,1.5,0.056355105322560474,816.2424964904785,479520
RO_31A,7,100,20,2,2.5,0.5,1.5,2.5,0.056548426570721934,823.0068552494049,420616
RO_31A,7,100,20,2,2.5,0.5,1.0,2.0,0.0563608306939299,820.4493842124939,432637
RO_31A,7,100,20,2,2.5,0.5,0.5,1.5,0.056322978537478495,808.1194183826447,386739
RO_31A,7,100,20,1,2.5,1.5,0.5,2.5,0.05641002822108014,822.7833633422852,426333
RO_31A,7,100,20,2,2.5,1.5,0.5,2.5,0.05645149229967938,820.5365931987762,273799
RO_31A,7,100,20,1,2.5,1.5,1.5,2.5,0.05679220789003341,833.4908843040466,260216
RO_31A,7,100,20,2,2.5,1.5,1.5,2.5,0.05667905458870376,832.8350839614868,120361
RO_31A,7,100,20,2,2.5,1.5,1.0,2.0,0.0563721491643095,827.234540939331,338184
RO_31A,7,100,20,1,2.5,1.5,1.0,2.0,0.0564147566356383,837.436231136322,55339
RO_31A,7,100,20,1,2.5,1.5,0.5,1.5,0.05636779534260348,829.4556050300598,192497
RO_31A,7,100,20,2,2.5,1.5,0.5,1.5,0.05633374907231965,800.6366956233978,770852
RO_31A,7,100,20,1,2.0,1.0,0.5,2.5,0.05645063541322275,800.2230126857758,52922
RO_31A,7,100,20,1,2.0,1.0,1.5,2.5,0.05665500575490856,801.4300212860107,696696
RO_31A,7,100,20,2,2.0,1.0,1.5,2.5,0.0564891264086185,805.8050148487091,900902
RO_31A,7,100,20,2,2.0,1.0,0.5,2.5,0.056378108591412394,812.3874852657318,468228
RO_31A,7,100,20,1,2.0,1.0,1.0,2.0,0.056371749036216244,813.9602661132812,150220
RO_31A,7,100,20,2,2.0,1.0,1.0,2.0,0.05639454709648735,805.7062840461731,895092
RO_31A,7,100,20,1,2.0,1.0,0.5,1.5,0.05629946615555336,800.6841912269592,276389
RO_31A,7,100,20,2,2.0,1.0,0.5,1.5,0.05629316416308661,808.1935570240021,308760
RO_31A,7,100,20,2,1.5,0.5,0.5,2.5,0.056364085803841425,637.7711653709412,734223
RO_31A,7,100,20,1,1.5,0.5,0.5,2.5,0.05638321312277686,649.6262648105621,147925
RO_31A,7,100,20,1,1.5,0.5,1.5,2.5,0.05669469540684741,653.7496809959412,117280
RO_31A,7,100,20,1,1.5,0.5,1.0,2.0,0.056339498104894796,598.0273864269257,902926
RO_31A,7,100,20,1,1.5,0.5,0.5,1.5,0.05631544516439202,594.1573967933655,475807
RO_31A,7,100,20,2,1.5,0.5,0.5,1.5,0.05629606093900796,606.5306334495544,878746
RO_31A,7,100,20,2,1.5,0.5,1.5,2.5,0.05658639170271643,634.8233528137207,895193
RO_31A,7,100,20,2,1.5,0.5,1.0,2.0,0.05637814519510517,634.7512986660004,113732
RO_31A,7,50,10,0,2.5,2.5,0.5,0.5,0.05640944019904797,167.95539784431458,769895
RO_31A,7,50,10,0,2.5,2.5,1.5,1.5,0.05694674454600808,168.13071060180664,963775
RO_31A,7,50,10,0,2.5,2.5,1.0,1.0,0.05653445282236258,168.15268230438232,686703
RO_31A,7,50,10,0,2.5,2.5,1.5,1.5,0.057184545940977466,168.68264889717102,719375
RO_31A,7,50,10,0,2.5,2.5,1.0,1.0,0.05647280469490647,168.73762583732605,500040
RO_31A,7,50,10,0,2.5,2.5,1.0,1.0,0.05654705021722311,168.7397336959839,607868
RO_31A,7,50,10,0,2.5,2.5,0.5,0.5,0.05637439946545234,168.75187611579895,583505
RO_31A,7,50,10,0,2.5,2.5,0.5,0.5,0.05645766181039897,168.77902555465698,31598
RO_31A,7,50,10,0,2.5,2.5,1.5,1.5,0.05718812594699467,168.78849148750305,51059
RO_31A,7,50,10,0,2.5,2.5,1.0,1.0,0.05646950826285587,168.8064305782318,652352
RO_31A,7,50,10,0,2.5,2.5,1.5,1.5,0.05693222397820936,168.80974411964417,374842
RO_31A,7,50,10,0,2.5,2.5,0.5,0.5,0.05641823250632163,168.82978463172913,899367
RO_31A,7,50,10,0,2.0,2.0,1.0,1.0,0.05643985780624723,174.85253596305847,391616
RO_31A,7,50,10,0,2.0,2.0,1.0,1.0,0.05652882093381541,175.20638012886047,501172
RO_31A,7,50,10,0,2.0,2.0,1.5,1.5,0.05677518543346814,175.80691194534302,451088
RO_31A,7,50,10,0,2.0,2.0,1.5,1.5,0.05654511486543013,175.9841628074646,782890
RO_31A,7,50,10,0,2.0,2.0,1.0,1.0,0.056469678969676224,176.23331332206726,732717
RO_31A,7,50,10,0,2.0,2.0,0.5,0.5,0.05638757213273842,176.9702467918396,141838
RO_31A,7,50,10,0,2.0,2.0,0.5,0.5,0.056376997200127836,177.46154522895813,784969
RO_31A,7,50,10,0,2.0,2.0,1.0,1.0,0.056459332440692137,176.71754050254822,981008
RO_31A,7,50,10,0,2.0,2.0,1.5,1.5,0.05688323438317217,176.877028465271,947202
RO_31A,7,50,10,0,2.0,2.0,0.5,0.5,0.05636012256256339,177.4763045310974,522651
RO_31A,7,50,10,0,2.0,2.0,1.5,1.5,0.05667672067508399,177.39011311531067,398225
RO_31A,7,50,10,0,2.0,2.0,0.5,0.5,0.05639909214838484,178.9993541240692,736447
RO_31A,7,50,10,0,1.5,1.5,0.5,0.5,0.056334610315379605,179.81672549247742,802957
RO_31A,7,50,10,0,1.5,1.5,0.5,0.5,0.056353039222078405,180.0047788619995,205398
RO_31A,7,50,10,0,1.5,1.5,0.5,0.5,0.05637115317072069,180.23201084136963,568311
RO_31A,7,50,10,0,1.5,1.5,1.0,1.0,0.05639131344093887,180.37659692764282,659419
RO_31A,7,50,10,0,1.5,1.5,1.5,1.5,0.05670935315929756,179.66019678115845,384327
RO_31A,7,50,10,0,1.5,1.5,1.0,1.0,0.05645552932412292,180.03355264663696,910900
RO_31A,7,50,10,0,1.5,1.5,0.5,0.5,0.0563344019148301,182.63640713691711,323950
RO_31A,7,50,10,0,1.5,1.5,1.0,1.0,0.056442989948590094,181.16892004013062,377828
RO_31A,7,50,10,0,1.5,1.5,1.5,1.5,0.05720771406000179,180.70651292800903,915755
RO_31A,7,50,10,0,1.5,1.5,1.5,1.5,0.05678085134714692,180.2661247253418,783060
RO_31A,7,50,10,0,1.5,1.5,1.5,1.5,0.05668978372079593,181.2704212665558,593370
RO_31A,7,50,10,0,1.5,1.5,1.0,1.0,0.05644487911020958,182.3847062587738,937445
RO_31A,7,50,20,0,2.5,2.5,0.5,0.5,0.05638235341831463,349.52419352531433,276613
RO_31A,7,50,20,0,2.5,2.5,1.0,1.0,0.05644657348546087,347.32787680625916,506309
RO_31A,7,50,20,0,2.5,2.5,1.5,1.5,0.056691828753613886,347.03598856925964,916992
RO_31A,7,50,20,0,2.5,2.5,0.5,0.5,0.05637578604110337,349.44866394996643,691403
RO_31A,7,50,20,0,2.5,2.5,1.0,1.0,0.05645514370943335,348.33337116241455,56759
RO_31A,7,50,20,0,2.5,2.5,1.0,1.0,0.05644211288040693,349.9296169281006,865250
RO_31A,7,50,20,0,2.5,2.5,1.5,1.5,0.05672251380611205,348.1606123447418,154310
RO_31A,7,50,20,0,2.5,2.5,0.5,0.5,0.05639356238570295,350.87058210372925,65193
RO_31A,7,50,20,0,2.5,2.5,0.5,0.5,0.05635582951914887,351.5676922798157,170326
RO_31A,7,50,20,0,2.5,2.5,1.5,1.5,0.05672491487863761,349.4594235420227,609609
RO_31A,7,50,20,0,2.5,2.5,1.5,1.5,0.056591863568187586,350.24950337409973,232668
